"","depth","alpha_mean","beta_mean","ETRmax_mean","Ek_mean","ps_mean","fvfm_mean","alpha_n","beta_n","ETRmax_n","Ek_n","ps_n","fvfm_n","alpha_se","beta_se","ETRmax_se","Ek_se","ps_se","fvfm_se"
"1","shallow",0.616134891625,1.796268796875,61.8942245125,98.87410700125,562.35869346,0.612125,8,8,8,8,8,8,0.0297758544392643,0.626339470744009,7.2286022205106,7.53357611842346,165.87283615182,0.011060608191751
"2","deep",0.6230651944,2.3486074524,64.712508044,102.705813704,805.448854558,0.6084,5,5,5,5,5,5,0.0567256371064928,0.6026452324109,9.46370573495832,12.6330335114135,194.551145442,0.014894965592441
